id,sentence1,sentence2,label
1,صراط: اولین جملات رئیس جمهور روسیه به وزیر خارجه آمریکا حاوی توصیه به استراحت بیشتر بوده است.,خبرآنلاین: رئیس جمهور روسیه در دیدار با وزیر امور خارجه آمریکا به او توصیه کرده است که کمی استراحت کرده و بخوابد.,paraphrase
2,فقط یه ایرانی غیور، پولی که ترامپ برای دوران کرونا بهش داده رو میفرسته ایران که واسش زمین بخرن   خسته نباشی دلاور  خدا قوت پهلوان,بایدن به ترامپ میگه گفتی وایتکس بخورین واسه کرونا میگه مزاح بود😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,nonparaphrase
3,پرزیدنت ترامپ دقیقا جمله لیدر ری استارت رو تکرار کرد: این برگه رای های پستی که به مردم می دید، ممکنه آلوده به ویروس کرونا باشد.    توییتر این توییت رو محدود کرده.  #Cyrus_I 👉 @restartleader  #Restart_opposition  #MAGA #MIGA  #TrustTrump https://t.co/FDVIrhIfiz,برادر ترامپ بر اثر ابتلا به ویروس کرونا درگذشت.   «رابرت ترامپ» برادر کوچک‌ تر «دونالد ترامپ» رئیس‌ جمهوری آمریکا که به دلیل بیماری کرونا در بیمارستان بستری بود، درگذشت. https://t.co/82mGBfowN6,nonparaphrase
4,ترامپ پیشنهاد داده انتخابات امریکا رو به دلیل کرونا عقب بندازن حاجی نکن اینکارو کل مملکت ما نشستن ببینن تو میشی یا نه که دلارا رو بفروشن یا نه #ترامپ #انتخابات_آمریکا #دلار #Trump #Dollar,▪️یعنی یکنفر* که مرخصی نباشد و یک خط خبر در مورد رسوایی پلوسی کار کند، در BBC وجود ندارد؟  *طرفدار ترامپ هم نباشد، اصلا ضد ترامپ باشد، فقط کار خبری انجام دهد!  پ.ن: تصویر بهمن @bbckalbasi نه چندان پایبند به فاصله و ماسک در دوره کرونا تزئینی است.  https://t.co/xktRpqEt9j https://t.co/90U2nxsjZX,nonparaphrase
5,کاخ سفید اعلام کرد که رئیس جمهور آمریکا دستور رفع تحریم‌ها علیه ایران را صادر کرد.,وزیر خارجه #آمریکا روز چهارشنبه ۲۶ شهریور اعلام کرد ایالات متحده هر اقدام لازمی را برای بازگشت تحریم‌های سازمان ملل علیه #ایران در هفته آینده انجام خواهد داد.,paraphrase
6,@twit_bourse شاخص رفت تا ۱.۲۰۰  تا انتخابات آمریکا اگه بایدن بشه باز میره تا ۸۰۰ هزار و خدانگهدار حکومت ...,@kiavash13 @twit_bourse بازار درست نمیشه ریزش شاخص تا ۸۰۰ هزار ادامه دار خواهد بود,nonparaphrase
7,صداوسیما این همه گفت ترامپ داره با بازگشایی مدارس جون بچه ها رو به خطر میندازه و کامران نجف زاده پشت سر هم گزارش می گرفت و همش از خطرات بازگشایی مدارس تو اوج کرونا میگفت! الان خودتون دارین چه غلطی میکنین دقیقا؟ :)  #نه_به_بازگشایی_مدارس,@AAiran69085362 چپ نیست. بیشتر بحثش سر مدیریت کرونا در آمریکا بود. پزشکه، neurologist  میگفت به خاطر ترامپ اون همه آدم در آمریکا مردن و من واقعا ناراحتم ازون اتفاق. میگفت ترامپ اول به کرونا گفت hoax و بعدا وقتی ماسک زدن رو پزشکان پیشنهاد دادن، اومد گفت ماسک نزنید و... خلاصه دیگه استدلالش این بود,nonparaphrase
8,@hamedbahari10 ملومه مدیری نمیگه چون تو این شرایط بیکاری و کرونا برنامهدش قطعدنشد و از همین نطام پول میگیره ترامپ خیلی برا امریکا خوبه بیکاری رو رسوند ب ۸ درصد یه چی تومایه احمدینژاد واس ملت ما ولی حیف ک تو کشور ما متعهدینو خونه نشین میکنن,بایدن چندوقت پیش به هواداران تیفوسی فوتبال(ورزش اول امریکا)در ایالت‌های میانی گفته بود:اگر ترامپ خرابکاری نکرده بود،الان ورزشگاه‌ها پر از تماشاگر بود.ترامپ هم ناراحت میشه زنگ میزنه به مدیر بیگ‌تن و میگه بدون توجه به کرونا باید بازی‌ها با حضور تماشاگر باشه.مدیر هم/۱,nonparaphrase
9,پیروزی ترامپ درانتخابات مقدماتی کارولینای جنوبی,ولی بنظرم با اوضاع فعلی آمریکا، ترامپ با اختلاف خیلی زیاد برنده خواهد شد و آبرویی برای چپولها نخواهد ماند.,nonparaphrase
10,کرونا از عقب آتیش از جلو ترامپ هم از وسط نمودند!,@shahriyar_rs شایدم‌ اشتباه نرفتی!! این روزا تو ایران ادما به سرعت نور رنگ‌ عوض میکنن! امروز تو کرونا میرن مراسم فردا عکس از چه‌گوارا میذارن پس فردا ترامپ رو ستایش میکنن و احتمالا اگه دستشون میرسید به جو بایدن رای میدادن,nonparaphrase
